movie_id,title,stripped_title,release_year,imdb_id,date_added
7af1d99c-833f-4ca9-9f4d-8130c81939b0,To Kill a Mockingbird,tokillamockingbird,1962,tt0056592,2023-03-11 22:07:45.432918
8d2b9f61-d5da-46c8-b390-cb201769309e,The Sting,thesting,1973,tt0070735,2023-03-11 22:07:45.433930
5440e168-1a0f-4bb0-9e5e-c17df49bce27,Up,up,2009,tt1049413,2023-03-11 22:07:45.434812
80c68932-4be9-42f5-96eb-b05374d0f8d2,Top Gun: Maverick,topgunmaverick,2022,tt1745960,2023-03-11 22:07:45.435577
d10035ae-90aa-4779-aa59-f90f0c717ada,A Separation,aseparation,2011,tt1832382,2023-03-11 22:07:45.436390
e3965715-4cb8-4a43-85c3-9ce9e2a70bf7,Metropolis,metropolis,1927,tt0017136,2023-03-11 22:07:45.437186
fd3354a0-198d-40f1-901f-c091e24c87d2,Taxi Driver,taxidriver,1976,tt0075314,2023-03-11 22:07:45.438000
7cd90649-03ba-474c-a120-3ef1e03619b5,L.A. Confidential,laconfidential,1997,tt0119488,2023-03-11 22:07:45.438811
a9184d20-d9c4-415c-8219-3fa32eb963f5,Die Hard,diehard,1988,tt0095016,2023-03-11 22:07:45.439607
e608e4db-0521-436b-8a7a-57fd2e1ff94b,Snatch,snatch,2000,tt0208092,2023-03-11 22:07:45.440432
eb0f182a-7ec0-4fcd-aa5c-9d9480438c53,Indiana Jones and the Last Crusade,indianajonesandthelastcrusade,1989,tt0097576,2023-03-11 22:07:45.441257
d20e0786-cf78-43f7-8788-0009bd0eb885,Bicycle Thieves,bicyclethieves,1948,tt0040522,2023-03-11 22:07:45.442222
5bd5e25b-75ce-42a3-8d81-32833977f2fb,Like Stars on Earth,likestarsonearth,2007,tt0986264,2023-03-11 22:07:45.443070
460db390-f5cc-42c4-af41-cba4e90693cf,1917,1917,2019,tt8579674,2023-03-11 22:07:45.443960
d3684e56-10c7-4d6b-b6d5-77871c150ede,Downfall,downfall,2004,tt0363163,2023-03-11 22:07:45.444834
a4660ffd-a915-4017-b012-b32b524be2ad,Dangal,dangal,2016,tt5074352,2023-03-11 22:07:45.445731
be30bd03-d3e6-4ffc-abd9-c8516fa04724,For a Few Dollars More,forafewdollarsmore,1965,tt0059578,2023-03-11 22:07:45.446524
794d9c9e-8041-4749-949c-a577a1080231,Batman Begins,batmanbegins,2005,tt0372784,2023-03-11 22:07:45.447371
4b9284b3-ae14-4375-91ad-10ce54ab7d3d,The Kid,thekid,1921,tt0012349,2023-03-11 22:07:45.448171
9209c308-124d-44a6-8917-6220dba42a01,Some Like It Hot,somelikeithot,1959,tt0053291,2023-03-11 22:07:45.449146
ef43acd1-aee1-4dcd-b62a-a3cc0403af7e,The Father,thefather,2020,tt10272386,2023-03-11 22:07:45.449990
afed230e-bbbc-43eb-ae44-6dd466b72f16,All About Eve,allabouteve,1950,tt0042192,2023-03-11 22:07:45.450768
85105b90-97a1-4223-ba23-21b9d32da081,The Wolf of Wall Street,thewolfofwallstreet,2013,tt0993846,2023-03-11 22:07:45.451573
e95aa6f1-f4b2-4b10-8d51-144bc93df518,Green Book,greenbook,2018,tt6966692,2023-03-11 22:07:45.452365
c6f829af-81c7-4537-b19c-2d4614242983,Judgment at Nuremberg,judgmentatnuremberg,1961,tt0055031,2023-03-11 22:07:45.453143
3f67182a-1c66-408c-97bc-47d884b0e128,Ran,ran,1985,tt0089881,2023-03-11 22:07:45.453942
34a243af-ed72-4c03-a5cb-4000cd4b66d0,Casino,casino,1995,tt0112641,2023-03-11 22:07:45.454768
5e2c3d01-285c-4c6e-89fc-4c9e9de28396,The Truman Show,thetrumanshow,1998,tt0120382,2023-03-11 22:07:45.455545
7f29ba4b-b231-465f-8d5d-600ae7cbbf11,Pan's Labyrinth,panslabyrinth,2006,tt0457430,2023-03-11 22:07:45.456334
860c80a3-7834-403c-b5c6-981f9a6f3f75,There Will Be Blood,therewillbeblood,2007,tt0469494,2023-03-11 22:07:45.457092
ba4133a4-3d69-436d-8426-d3f9564719eb,Unforgiven,unforgiven,1992,tt0105695,2023-03-11 22:07:45.457929
b4210236-5e9c-4e9d-a5e5-eb74be5134b0,The Sixth Sense,thesixthsense,1999,tt0167404,2023-03-11 22:07:45.458812
