clue_id,movie_id,category_id,clue_text,spoiler,date_created
12fbebc8-01c9-4450-a30e-891237aa16a8,8665eb4b-54e2-485f-97bd-af48da931022,1,There are a few sexual references.,false,2023-03-11 22:08:08.226809
ea64f022-1f16-40b8-b925-3ef1111746ef,8665eb4b-54e2-485f-97bd-af48da931022,1,There is a romantic scene where first the man and woman kiss each other (woman has her cleavage revealing) then slowly she takes off her top and her entire breast including nipples is visible about a second. It's at the center of the scene and very obvious but brief.,false,2023-03-11 22:08:08.228620
b422fa53-8422-4c00-bf84-c00731ea281a,8665eb4b-54e2-485f-97bd-af48da931022,1,"While receiving a massage, we briefly see the top of a man's hairy bare bottom before he is shot. The bottom is not the focal point and if you don't look for it you won't see it.",false,2023-03-11 22:08:08.230099
17a4582e-831f-44e1-95e5-f03304c454b6,8665eb4b-54e2-485f-97bd-af48da931022,1,"A clothed sex scene lasts about five seconds, but there is no nudity.",false,2023-03-11 22:08:08.231410
35afd303-b91b-46fd-a7fd-f91b7e1f303f,8665eb4b-54e2-485f-97bd-af48da931022,1,"A woman makes a hand gesture implying her husband has a large penis, this may fly over some viewers' heads.",false,2023-03-11 22:08:08.232385
e04f2373-0a6b-4289-a2af-b210ead19128,8665eb4b-54e2-485f-97bd-af48da931022,1,Someone thrusts into his mistress against a door. There is loud moaning.,false,2023-03-11 22:08:08.233306
3fe12972-2d05-4f5d-a684-dad35543a8b6,8665eb4b-54e2-485f-97bd-af48da931022,2,"Lots of shootings, usually not that graphic.",false,2023-03-11 22:08:08.233892
6acad49d-52d6-4b17-b328-d774564dbb20,8665eb4b-54e2-485f-97bd-af48da931022,2,"The famous ""mattresses"" montage sequence features various newspapers with real-life photographs of killings of gangsters and mobsters. Although they a quite brief and relatively unimportant to the plot, the idea that those are real events and not pictures taken for the film might be a bit disturbing.",false,2023-03-11 22:08:08.234479
5514557a-e808-4c7d-8122-dbd4b8839f9b,8665eb4b-54e2-485f-97bd-af48da931022,2,"A man is shot four times by another man through a glass door. A bullet wound and later some blood on the glass is briefly seen. A man and woman in bed are shot to death with machine guns and blood spraying, bullet wounds are visible. The scene lasts a couple seconds.",false,2023-03-11 22:08:08.235366
172d57b0-c2c2-4fda-9948-e077462035c7,8665eb4b-54e2-485f-97bd-af48da931022,2,"A man is stabbed in the hand and then garroted, a trickle of blood is seen on his hand. Lasts for roughly 18 seconds before the scene cuts.",false,2023-03-11 22:08:08.235954
d5c5e488-2928-4db9-b149-4745cf7d661b,8665eb4b-54e2-485f-97bd-af48da931022,2,"A man is shot in the eye, he slumps down dead. We see his glasses crack, and blood streaming for a second. Not too graphic.",false,2023-03-11 22:08:08.236467
f6dfd3e1-1136-4c7e-a2ee-20179e829a7c,8665eb4b-54e2-485f-97bd-af48da931022,2,"A man shoots two men, one in the head (we briefly see a bullet hole and red mist shooting from it), the other in the neck, then head with blood dripping from the bullet hole for two seconds.",false,2023-03-11 22:08:08.237033
d8eebb7e-7dba-45c9-92bf-57d2928bfd91,8665eb4b-54e2-485f-97bd-af48da931022,2,"A man is shot five times in the back (from a distance), a dripping bullet wound is shown for a second or two.",false,2023-03-11 22:08:08.237604
